"Configure","Konfigurieren"
"Close","Schließen"
"Requested address not found.","Angeforderte Adresse nicht gefunden."
"Credit limits","Kreditlimits"
"Activate payment by invoice","Zahlung auf Rechnung aktivieren"
"Please provide your salutation.","Bitte geben Sie Ihre Anrede an."
"Please provide the legal form.","Bitte geben Sie die Rechtsform an."
"Please provide the date of incorporation.","Bitte geben Sie das Gründungsdatum an."
"Payment by invoice is activated and a credit limit has been approved.","Die Zahlung auf Rechnung ist aktiviert und ein Kreditlimit wurde genehmigt."
"Changing the country on a existing customer address is not allowed, if the address does have a credit limit.","Das Land einer bestehenden Kundenadresse kann nicht geändert werden, wenn für die Adresse ein Kreditlimit besteht."
"Account creation failed due to missing fields.","Das Konto konnte nicht angelegt werden, da Felder fehlen."
"Order with ID %1 is not a Tilta order.","Bestellung mit ID %1 ist keine Tilta-Bestellung."
"Tilta customer address data not found.","Tilta-Kundenadressdaten nicht gefunden"
"Invalid credentials for Tilta Payments. Error Message: %1","Ungültige Anmeldedaten für Tilta Payments. Fehlermeldung: %1"
"Tilta credentials has been verified successfully.","Tilta-Anmeldedaten wurden erfolgreich überprüft."
"Invalid date format","Ungültiges Datumsformat"
"Please provide the company name.","Bitte geben Sie den Firmennamen an."
"The business start date must be a valid date.","Gründungsdatum muss ein gültiges Datum sein"
"Invalid buyer-external-id","Ungültige buyer-external-id"
"Limit was not returned by gateway.","Kreditlimit wurde nicht vom Gateway zurückgegeben"
"TILTA_LEGAL_FORM__LIMITED_COMPANY","Gesellschaft mit beschränkter Haftung (z.B. GmbH, Ltd., Sp. z o.o.)"
"TILTA_LEGAL_FORM__SOLE_TRADER","Einzelunternehmen / Freiberufler"
"TILTA_LEGAL_FORM__PARTNERSHIP","Personengesellschaft (z.B. GbR, OHG, KG, LLP)"
"TILTA_LEGAL_FORM__PUBLIC_COMPANY","Aktiengesellschaft (z.B. AG, SE) / Börsennotiertes Unternehmen"
"TILTA_LEGAL_FORM__COOPERATIVE","Genossenschaft (z.B. eG)"
"TILTA_LEGAL_FORM__GOVERNMENT","Öffentliche Einrichtung / Regierungsbehörde"
"TILTA_LEGAL_FORM__OTHER","Andere Rechtsform"
"Payment by invoice is offered in partnership with Tilta. I confirm that I have read and accept the privacy policy of <a href=""%1"" target=""_blank"">Tilta</a>.","Die Zahlung auf Rechnung wird in Zusammenarbeit mit Tilta angeboten. Ich bestätige, dass ich die Datenschutzbestimmungen von <a href=""%1"" target=""_blank"">Tilta</a> gelesen habe und akzeptiere diese."
"Can not render address","Adresse kann nicht angezeigt werden"
"Phone Number","Telefonnummer"
"Please note the correct format of the phone number. It must start with the country code and should not contain any spaces. Example: +491731010101.","Bitte beachten Sie die korrekte Schreibweise der Telefonnummer. Diese muss mit dem Ländercode beginnen und darf keine Leerzeichen enthalten. Beispiel: +491731010101."
"Legal form","Rechtsform"
"-- Please Select --","-- Bitte auswählen --"
"Day","Tag"
"Month","Monat"
"Year","Jahr"
"Address","Adresse"
"* Required Fields","* Pflichtfelder"
"You can request a credit limit to pay by invoice. After you are approved, you will have a credit limit available to pay by invoice. Requesting a credit limit from us does not affect your credit rating.",Sie können ein Kreditlimit für die Zahlung auf Rechnung beantragen. Nach der Genehmigung steht Ihnen ein Kreditlimit für die Zahlung per Rechnung zur Verfügung. Die Beantragung eines Kreditlimits bei uns hat keine Auswirkungen auf Ihre Bonität.
"Limit usage","Nutzung des Kreditlimits"
"Usage","Genutzt"
"Spent","Ausgegeben"
"Available","Verfügbar"
"Total amount","Gesamtbetrag"
"Tilta Payment","Tilta Zahlung"
"Enabled","Aktiviert"
"Sandbox enabled","Sandbox aktiviert"
"Sandbox Credentials","Zugangsdaten Sandbox-Umgebung"
"Auth Token","Auth Token"
"Merchant external ID","Externe Merchant ID"
"Production Credentials","Zugangsdaten Produktionsumgebung"
"Advanced","Erweitert"
"Buyer External ID prefix","Präfix für Externe Buyer ID"
"Pay in %1 days","In %1 Tagen zahlen"
"Your credit limit is fully spent. Please settle any outstanding invoices before placing another order with payment by invoice. If you have any questions or need assistance, our customer service is here to help.","Ihr Kreditlimit ist vollständig ausgeschöpft. Bevor Sie erneut auf Rechnung bestellen können, begleichen Sie bitte zunächst Ihre offenen Rechnungen. Wenn Sie Fragen haben oder Hilfe benötigen, steht Ihnen unser Kundenservice zur Verfügung."
"Your available credit limit does not cover the total of this order. Please review and adjust your order or choose a different payment method. If you have any questions or require assistance, please contact our customer service.","Ihr Kreditlimit reicht derzeit nicht aus, um diese Bestellung durchzuführen. Bitte überprüfen und passen Sie Ihre Bestellung an oder wählen Sie eine andere Zahlungsmethode. Wenn Sie Fragen haben oder Hilfe benötigen, wenden Sie sich bitte an unseren Kundenservice."
"Unfortunately, you cannot use this payment method. Please contact our customer service.",Leider können Sie diese Zahlungsart nicht verwenden. Bitte wenden Sie sich an unseren Kundenservice.
"To activate your account for payment by invoice, we need a few additional business details. This is a one-time step – you won’t need to resubmit them for future orders.","Um Ihr Konto für die Zahlung auf Rechnung zu aktivieren, benötigen wir einige zusätzliche Geschäftsdaten. Dies ist ein einmaliger Schritt – Sie müssen diese Daten bei zukünftigen Bestellungen nicht erneut eingeben."
"Legal form","Rechtsform"
"Business start date","Gründungsdatum"
"Please note the correct format of the phone number. It must start with the country code and should not contain any spaces. Example: +491731010101.","Bitte beachten Sie die korrekte Schreibweise der Telefonnummer. Diese muss mit der Landesvorwahl beginnen und darf keine Leerzeichen enthalten. Beispiel: +491731010101"
"Unknown error during credit limit request","Unbekannter Fehler bei der Kreditlimit-Anfrage"
"Salutation","Anrede"
"Mr.","Herr"
"Ms.","Frau"
"Divers","Divers"
"Please provide the salutation of the sole trader.","Bitte geben Sie die Anrede des Einzelunternehmers an."
"You have %1 days to pay after your order is shipped. We will send you a reminder when the payment date is close with all important details.","Sie haben %1 Tage Zeit, um zu bezahlen, nachdem Ihre Bestellung versandt wurde. Wir schicken Ihnen eine Erinnerung mit allen wichtigen Details, wenn der Zahlungstermin näher rückt."
